Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
22-Jul-24,Monday,July,Q3,2024,EQ,3074.50,3075.00,2998.55,3110.30,3004.00,3001.35,3016.24,3217.60,2220.30,9837188.00,465224.00
19-Jul-24,Friday,July,Q3,2024,EQ,3172.00,3179.95,3105.60,3173.35,3116.95,3110.30,3128.40,3217.60,2220.30,6570195.00,213186.00
18-Jul-24,Thursday,July,Q3,2024,EQ,3152.00,3187.80,3115.65,3152.50,3170.60,3173.35,3155.52,3217.60,2220.30,6149187.00,212178.00
16-Jul-24,Tuesday,July,Q3,2024,EQ,3187.00,3200.00,3138.25,3194.45,3148.30,3152.50,3166.04,3217.60,2220.30,4693419.00,230262.00
15-Jul-24,Monday,July,Q3,2024,EQ,3208.90,3211.70,3171.00,3193.45,3193.60,3194.45,3191.40,3217.60,2220.30,2664844.00,187867.00
12-Jul-24,Friday,July,Q3,2024,EQ,3169.00,3210.30,3149.00,3161.30,3195.00,3193.45,3186.07,3217.60,2220.30,6462392.00,246838.00
11-Jul-24,Thursday,July,Q3,2024,EQ,3175.00,3208.50,3141.00,3168.45,3170.00,3161.30,3169.61,3217.60,2220.30,5970473.00,246252.00
10-Jul-24,Wednesday,July,Q3,2024,EQ,3190.00,3195.00,3126.30,3180.55,3164.00,3168.45,3154.77,3217.60,2220.30,3567289.00,182113.00
09-Jul-24,Tuesday,July,Q3,2024,EQ,3195.20,3201.00,3161.00,3201.80,3176.30,3180.55,3178.56,3217.60,2220.30,3480001.00,159638.00
08-Jul-24,Monday,July,Q3,2024,EQ,3178.00,3217.60,3165.05,3177.25,3201.50,3201.80,3195.83,3217.60,2220.30,4750403.00,240527.00
05-Jul-24,Friday,July,Q3,2024,EQ,3107.65,3197.00,3096.00,3108.05,3189.90,3177.25,3149.82,3197.00,2220.30,6134855.00,261494.00
04-Jul-24,Thursday,July,Q3,2024,EQ,3114.00,3135.00,3101.60,3104.85,3106.00,3108.05,3116.99,3162.00,2220.30,3418588.00,173336.00
03-Jul-24,Wednesday,July,Q3,2024,EQ,3132.65,3150.00,3085.55,3130.35,3109.00,3104.85,3104.97,3162.00,2220.30,4524810.00,185754.00
02-Jul-24,Tuesday,July,Q3,2024,EQ,3139.00,3147.00,3114.00,3120.30,3126.20,3130.35,3129.71,3162.00,2220.30,3874623.00,179115.00
01-Jul-24,Monday,July,Q3,2024,EQ,3125.05,3158.80,3111.35,3130.80,3123.00,3120.30,3126.53,3162.00,2220.30,3862153.00,186641.00
28-Jun-24,Friday,June,Q2,2024,EQ,3062.05,3162.00,3062.05,3061.10,3128.25,3130.80,3120.51,3162.00,2220.30,14478668.00,484009.00
27-Jun-24,Thursday,June,Q2,2024,EQ,3027.50,3075.00,3012.00,3028.05,3057.10,3061.10,3056.99,3075.00,2220.30,14191515.00,437882.00
26-Jun-24,Wednesday,June,Q2,2024,EQ,2892.10,3037.95,2890.25,2908.30,3021.10,3028.05,2984.44,3037.95,2220.30,11007441.00,355204.00
25-Jun-24,Tuesday,June,Q2,2024,EQ,2886.00,2911.85,2882.00,2882.95,2905.05,2908.30,2897.19,3029.00,2220.30,3522693.00,143772.00
24-Jun-24,Monday,June,Q2,2024,EQ,2891.05,2899.00,2875.00,2908.40,2885.00,2882.95,2885.46,3029.00,2220.30,4439193.00,204050.00
21-Jun-24,Friday,June,Q2,2024,EQ,2947.25,2949.40,2881.15,2947.40,2912.00,2908.40,2909.13,3029.00,2220.30,15585180.00,338377.00
20-Jun-24,Thursday,June,Q2,2024,EQ,2918.00,2965.70,2900.20,2917.30,2949.00,2947.40,2945.61,3029.00,2220.30,8056888.00,219372.00
19-Jun-24,Wednesday,June,Q2,2024,EQ,2975.00,2975.00,2912.00,2962.05,2917.00,2917.30,2935.27,3029.00,2220.30,4362937.00,181800.00
18-Jun-24,Tuesday,June,Q2,2024,EQ,2974.70,2974.80,2942.70,2955.10,2959.90,2962.05,2956.95,3029.00,2220.30,3598383.00,228749.00
14-Jun-24,Friday,June,Q2,2024,EQ,2940.00,2959.35,2914.45,2930.50,2951.45,2955.10,2944.28,3029.00,2220.30,4078999.00,150934.00
13-Jun-24,Thursday,June,Q2,2024,EQ,2944.00,2944.50,2920.20,2926.65,2927.60,2930.50,2932.52,3029.00,2220.30,4590580.00,150823.00
12-Jun-24,Wednesday,June,Q2,2024,EQ,2915.00,2952.00,2910.35,2913.35,2924.50,2926.65,2933.93,3029.00,2220.30,5040871.00,194907.00
11-Jun-24,Tuesday,June,Q2,2024,EQ,2938.00,2947.35,2909.35,2942.80,2915.05,2913.35,2927.47,3029.00,2220.30,5887451.00,210257.00
10-Jun-24,Monday,June,Q2,2024,EQ,2939.90,2986.70,2936.15,2939.90,2944.05,2942.80,2961.63,3029.00,2220.30,4625880.00,213285.00
07-Jun-24,Friday,June,Q2,2024,EQ,2857.00,2944.00,2853.00,2863.20,2931.10,2939.90,2917.34,3029.00,2220.30,9279348.00,344744.00
06-Jun-24,Thursday,June,Q2,2024,EQ,2870.00,2887.40,2842.70,2841.50,2872.00,2863.20,2860.47,3029.00,2220.30,8927861.00,361277.00
05-Jun-24,Wednesday,June,Q2,2024,EQ,2844.00,2862.30,2768.20,2794.55,2838.85,2841.50,2821.32,3029.00,2220.30,8732445.00,474290.00
04-Jun-24,Tuesday,June,Q2,2024,EQ,2996.10,2996.10,2718.60,3020.65,2816.45,2794.55,2840.81,3029.00,2220.30,18354549.00,687198.00
03-Jun-24,Monday,June,Q2,2024,EQ,2966.00,3029.00,2918.00,2860.80,3027.75,3020.65,2978.07,3029.00,2220.30,10763971.00,527552.00
31-May-24,Friday,May,Q2,2024,EQ,2862.60,2884.50,2844.50,2849.70,2859.00,2860.80,2859.97,3024.90,2220.30,15534916.00,291018.00
